file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R,min_height_exp,spread_time_ms_00R,spread_time_ms_02R,spread_time_width_ms
higherResolution_t_rc20250201T130743.mat,-15.0542790413596,0.215443469003188,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.6562857531115,1.6940030045263,0.895045463363615,0.894654108620593,0.0109393839355754,0.013680831699494,1.38406355548299,0.506807351329759,0.564013119381081,0.834250784081958
higherResolution_t_rc20250201T130815.mat,-4.08313082454925,0.0158489319246111,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.49515471117699,NaN,0.145077126392876,NaN,0.00535666232012783,0.00816874565903863,1.87512648049837,0.531387954789311,0.783599843619825,1.07797119171739
higherResolution_t_rc20250201T130838.mat,-5.99321643387849,0.034145488738336,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.13985326117057,2.75830977730593,0.213650714574083,0.155034771207691,0.00628241693862925,0.00905068719663678,1.83946697753177,0.454815650678947,0.703601152360517,0.952535627396466
higherResolution_t_rc20250201T130920.mat,-13.9420497586799,0.184784979742229,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.66030803367761,2.02472600868097,0.210731766434809,0.201201365536399,0.00932281698419218,0.0116612459984076,1.71864684459115,0.414890791726461,0.524535180491496,0.707027539509426
higherResolution_t_rc20250201T130952.mat,-9.49860792700009,0.0857695898590894,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.84056579238108,1.92760906900311,0.77516550901632,0.772872685831932,0.00874326908467021,0.0115257290965924,1.61969277286564,0.754103119468349,0.741589357707116,0.87343077626296
higherResolution_t_rc20250201T131042.mat,-4.08313082454925,0.0158489319246111,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.24651818284964,2.41615050845283,0.82244478929703,0.812530406152555,0.00606058718764269,0.00893868411967469,1.80661939456259,1.25033336264294,1.11238403656078,1.0404299064337
higherResolution_t_rc20250201T131108.mat,-5.99321643387849,0.034145488738336,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.04451031441832,2.16956708111079,0.80943197010818,0.804594459026225,0.00694897230857029,0.00994607941100057,1.73876383495837,0.924230690079393,0.949705133664759,0.970114483203912
higherResolution_t_rc20250201T131143.mat,-9.49860792700009,0.0857695898590894,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.81479340208712,1.87636223512378,0.927013217603013,0.926338318758389,0.00883954483951994,0.0116295748201145,1.57461734182901,0.660547852967704,0.737120157078104,0.918569702615978
higherResolution_t_rc20250201T131206.mat,-13.9420497586799,0.184784979742229,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.69531677193821,1.76149009163218,0.726635763255331,0.725300270742291,0.0104854224876081,0.0131737199048815,1.47890987516923,0.570716920324596,0.593360870178244,0.774810415716103
higherResolution_t_rc20250201T131319.mat,-4.08313082454925,0.0158489319246111,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,2.21672351198957,2.36862800843101,0.934122771578327,0.930699644507928,0.0061138419007892,0.00917363151284959,1.79515979204011,1.43431545520392,1.27923419337722,1.02121234372895
